APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0012 - Level I Debridement & Destruction,AK,1057,161.7693472,33.56264901
0012 - Level I Debridement & Destruction,AL,44,196.2511364,15.95545455
0012 - Level I Debridement & Destruction,AR,3804,57.16196635,12.53983701
0012 - Level I Debridement & Destruction,AZ,2382,56.2336314,13.30406801
0012 - Level I Debridement & Destruction,CA,20998,80.7758096,16.73895895
0012 - Level I Debridement & Destruction,CO,7120,86.01593118,16.4482809
0012 - Level I Debridement & Destruction,CT,6152,56.42181892,17.55199122
0012 - Level I Debridement & Destruction,DC,276,62.02902174,13.74949275
0012 - Level I Debridement & Destruction,DE,*,*,*
0012 - Level I Debridement & Destruction,FL,2389,57.45896609,13.21453746
0012 - Level I Debridement & Destruction,GA,940,112.9880106,19.04717021
0012 - Level I Debridement & Destruction,HI,1042,47.20314779,14.83336852
0012 - Level I Debridement & Destruction,IA,12479,51.25471432,13.92163475
0012 - Level I Debridement & Destruction,ID,351,18.25501425,13.11760684
0012 - Level I Debridement & Destruction,IL,11445,84.94850852,13.72608213
0012 - Level I Debridement & Destruction,IN,513,138.6864717,14.41346979
0012 - Level I Debridement & Destruction,KS,323,91.67894737,15.76095975
0012 - Level I Debridement & Destruction,KY,101,204.3747525,18.75930693
0012 - Level I Debridement & Destruction,LA,1732,121.6287125,19.36532333
0012 - Level I Debridement & Destruction,MA,31278,193.1396,17.91950956
0012 - Level I Debridement & Destruction,ME,3194,38.16232937,16.13100814
0012 - Level I Debridement & Destruction,MI,3314,59.07119795,14.49316838
0012 - Level I Debridement & Destruction,MN,12471,60.62992863,14.98802823
0012 - Level I Debridement & Destruction,MO,9590,44.14206569,12.45629301
0012 - Level I Debridement & Destruction,MS,675,96.78324444,19.31032593
0012 - Level I Debridement & Destruction,MT,7662,34.00541112,13.58692508
0012 - Level I Debridement & Destruction,NC,13381,46.76148569,13.42395262
0012 - Level I Debridement & Destruction,ND,9342,32.46563905,13.7504271
0012 - Level I Debridement & Destruction,NE,63,291.5874603,18.10031746
0012 - Level I Debridement & Destruction,NH,4478,72.14638231,15.66857079
0012 - Level I Debridement & Destruction,NJ,83,201.1668675,27.32855422
0012 - Level I Debridement & Destruction,NM,1594,109.6310414,13.60449184
0012 - Level I Debridement & Destruction,NV,39,78.07435897,23.58974359
0012 - Level I Debridement & Destruction,NY,8825,37.22771785,14.40424476
0012 - Level I Debridement & Destruction,OH,3238,84.12772699,13.30186844
0012 - Level I Debridement & Destruction,OK,189,146.2673545,16.95238095
0012 - Level I Debridement & Destruction,OR,10076,37.16663061,14.77137654
0012 - Level I Debridement & Destruction,PA,20559,53.13181526,13.64147332
0012 - Level I Debridement & Destruction,RI,81,291.6454321,19.01888889
0012 - Level I Debridement & Destruction,SC,3203,81.87286294,16.28739931
0012 - Level I Debridement & Destruction,SD,8506,56.43089819,13.68349283
0012 - Level I Debridement & Destruction,TN,283,134.4049117,16.87091873
0012 - Level I Debridement & Destruction,TX,46332,55.47824981,13.24216459
0012 - Level I Debridement & Destruction,UT,7109,35.91117175,13.40696019
0012 - Level I Debridement & Destruction,VA,7619,97.78805224,13.68407009
0012 - Level I Debridement & Destruction,VT,4207,48.09715237,14.28157119
0012 - Level I Debridement & Destruction,WA,10388,49.56986908,14.77203023
0012 - Level I Debridement & Destruction,WI,18005,29.90248542,14.10402777
0012 - Level I Debridement & Destruction,WV,946,95.66047569,12.10359408
0012 - Level I Debridement & Destruction,WY,*,*,*
0013 - Level II Debridement & Destruction,AK,1117,243.3553536,74.87112802
0013 - Level II Debridement & Destruction,AL,2349,351.7451554,46.18317582
0013 - Level II Debridement & Destruction,AR,5350,161.8266841,49.85238131
